,날짜,리뷰,평점
0,2020.05.06 20:13,이것은... 사진 세울 때 쓰는 겁니다ㅎ,10
1,2020.05.09 23:25,나라면 그냥 12년 살았을듯....쫄려 죽는줄..,10
2,2020.05.06 11:02,영화 재밌습니다. 다니엘 래드클리프 완전 열연이네요. 열쇠맞출때마다 몰입감과 긴장감이 공존하는데 꿀잼입니다. 올해 본 영화 중 탑 3에 들어감. 저게 실화라는게 더 놀랍네요.,10
3,2020.05.06 14:47,심장 쫄리는 수준이 장난 아님. 말도 안 되는 것 같은데 실화라니 더 충격,10
4,2020.05.06 14:45,다니엘 래드클리프.. 이제는  배우로 도약하는거같다,10
5,2020.05.06 11:37,코로나 탈출 방탈출 같이 갇힌 공간을 탈출하고 싶은 그 맘이 커서 그런지 재밌게 봤음 방탈출카페 가고 싶다,10
6,2020.05.06 15:22,껌으로 열쇠 붙일때가 젤 긴장감 있었다ㅋㅋㅋ 스토리는 실화기반이라 독특한 느낌은 없었다. 쇼생크 탈출류의 감옥이야기,7
7,2020.05.06 12:44,몰입도라든가 연출이좋음,8
8,2020.05.07 22:22,그동안 봐온 감옥탈출 영화중 가장 소박했지만 열쇠라는 작은 매체 하나만으로 이렇게 스릴을 유도하는 경우는 개인적으로 처음 봐서 실화이지만서도 참신하게 다가온 작품이었습니다.,9
9,2020.05.11 07:29,영화속에 실제 탈출 주인공 나온다. . . 면회하는 장면. . . 잘바바요,10
10,2020.05.06 19:59,진짜 너무 재밌음 제빌 봐주세요 부탁임 이건 꼭 뵈야됨 콜라 빨대 오무리면서 봤네 ㅋㅋㅋㅋ,10
11,2020.05.09 20:39,"긴장감,몰입감, 통쾌함을 느낀  재미난영화",8
12,2020.05.06 15:14,"위험을 무릅쓰고 행동하는 자만이, 자유를 만끽하는법",9
13,2020.05.16 21:52,배우들이 대사를 하는 시간보다 숨소리를 내는 시간이 더많은 영화오히려 그런 상황이 보는 입장에서 더긴장하게 만듬.쇼생크 탈출을 보러 왔다가  이스케이프 플랜(실버스타 스텔론)의 과거 버전을 보고 온듯한 기분,7
14,2020.05.06 15:05,이게 실화라니... 진짜 대단하다.. ㄷㄷ,9
15,2020.05.10 19:14,실화인데 영 믿기지가 않은 영화,8
16,2020.05.15 16:46,처음부터 끝까지 심장이 아주 쫄깃쫄깃 조여온다..,8
17,2020.05.13 16:09,이야 몰입감쩔고 개쫄림 탈옥과정을 잘 표현함,8
18,2020.05.24 17:20,같이 탈옥 한번 한것 같은 기분,9
19,2020.05.06 11:39,오 다니엘 래드클리프 인생 영화!  재밌어요~~,10
20,2020.05.06 14:48,"실화라는게 믿겨지지 않을 정도로 영화같은 스토리였네요, 코로나 때문에 오랜만에 간 극장이였는데 후회 없습니다",9
21,2020.05.06 13:34,이런 영화 처음이네~,10
22,2020.05.06 14:53,긴장감 넘치는 연출로 몰입감이 좋아 시간가는 줄 모르고 빠져서 보게됩니다. 특히 실화를 리얼하게 살려낸 연출에 찬사를 보냅니다.,8
23,2020.05.10 21:36,영화 볼 게 없어서 고른 건데 과몰입해서 봤음열쇠 껌으로 주울 때 긴장돼서 발가락을 가만히 두질 못하고 ㅋㅋㅋ,7
24,2020.05.07 21:11,아들과 봤음 조마조마 조마조마 실화 라니 정말 ...,8
25,2020.05.06 15:00,탈출영화 좋아해서 봤는데 직접 열쇠를 만들어버리는 클라쑤 ㅋㅋㅋㅋ 새로운 느낌이었는데 실화였다니 더 소름! 그 와중에 연기도 잘함,9
26,2020.05.11 03:18,가학적인 장면 없이도 충분히 괴로운 영화 시종일관 꽉 죄어오는 긴장감이 관객을 괴롭힌다.,7
27,2020.05.08 18:38,끝나는시간까지맘졸이며재미있게봤어요.실화가바탕이라고했으나내용을모르고가서인지보는내 긴장의시간이었어요.추천합니다~,10
28,2020.05.08 02:09,상황이 너무 맞아떨어지는 느낌도 들지만 탈출과정이 주는 몰입감은 최고... 더러운 장면 하나 있어서 별 하나 깎음,8
29,2020.05.14 11:09,생각보다 자극적인 탈출 장면은 없어서 아쉽지만 들킬까봐 심장 쫄린 장면은 많았다. 보통 생각하는탈출극이다만 긴장감 있는 탈출을 보고 싶다면 추천,7
30,2020.05.17 04:38,"그저 무미건조하게 탈출만 기다리게 되는, 툭툭 예상되는 긴장감만 던져주고 기대감도 궁금증도 안생겼던 영화..",5
31,2020.05.08 10:58,15개의 강철문을 뚫는건 오로지 열쇠뿐!!!...시종 가슴을 조여오는 긴장감은 압권이다!!!...유색인종 인권운동으로 실형을 받은 두명의 백인!그들의 탈출은 부당함에 맞서는 유일한 방법!실화가 주는 진정성은 울림이 있는 감동을 준다! ,10
32,2020.05.07 19:47,해리포터의 아즈카반 탈출 영화화 ㅋ,9
33,2020.05.10 19:55,와 마지막 문 부수는거에서 심장 터지는줄...,10
34,2020.05.25 22:34,진짜 짜릿해 ~~~~ 요,10
35,2020.05.14 12:25,공포영화 보다도 더 심장터질뻔!,10
36,2020.05.30 17:38,더이상 해리포터가 생각나지 않는 한 명의 배우가 된 다니엘 레드클리프.,8
37,2020.05.08 03:24,해리포터 이후 다니엘 래드클리프 작품 중에서 제일 나은듯 긴장감 장난아님,8
38,2020.05.10 23:07,정적인 플롯이라고 생각했는데 생각보다 긴장감 넘치고 몰입됨. 재밌음,7
39,2020.05.15 16:30,거짓말같은 실화라서 열쇠하나만으로도상영내내 긴장감 최고!인권운동가들에게응원과 박수를 보냅니다,10
40,2020.05.14 18:54,그들이 웃고나서야 참았던 긴장이 풀렸다,9
41,2020.05.11 00:52,보다가 심장병 걸릴뻔,9
42,2020.05.16 08:55,와~ 심장 쫄깃해 죽는줄 알았다... 이게 진짜 실화? 감옥 탈출 영화의 최고봉!,10
43,2020.05.16 23:05,극장에서 봐야하는 영화 was the best !:),10
44,2020.05.06 17:04,몰입도가 좋아서 재미있게 잘봤습니다~,9
45,2020.05.20 23:58,이게 실화라는게 신기했고 누구한명은 잡히겠지했는데 다탈옥성공하는게 놀라웠다. 열쇠열때마다 웬만한 공포영화들보다 무서웠음,10
46,2020.05.06 14:46,내용도 재미있고 특히 실화라는게 ㅋㅋ임팩트 있었습니다,10
47,2020.05.24 21:39,이거 보면 정말 아집과 집념만 있으면 세상에 못할게 없는거같다..,10
48,2020.05.24 22:31,해리포터 드디어 해리포터이미지가 없어지는 영화였다. 연기 정말 환상적,10
49,2020.05.24 21:10,결말을 아는데도 쫄리면서보는영화,8
50,2020.05.24 01:13,현실에 저항하는 것이 우리나라 독립운동가들 같기도 해서 응원(?)하면서 봤네요. 실화라는 게 놀랍고 강한 저항의지에 감동받았어요. 지루할 틈 없이 스릴있어요.,10
51,2020.05.18 21:48,글쎄...이게 10점짜리는 아닌거같은데,6
52,2020.05.12 04:52,뭐가됐든 일단 밖에 나가서 좀 하자 해리야!!! 아유 내심장아,10
53,2020.06.07 19:53,이게 다 지팡이가 없어서 일어난 일입니다.알로호모라 하나면 끝인데 하하핫,10
54,2020.06.07 13:16,인종차별에 저항하는 역사적 운동을 좀 더 부각시켰으면 영화의 주제의식이 더 들어났을텐데 탈출과정에만 지나치게 집중하여 영화가 주는 메시지의 전달력이 반감된다,6
55,2020.06.02 21:00,빗자루 타고 탈옥하면 끝인데,10
56,2020.05.23 23:31,영화 보면서 평점 처음 남겨요 진짜... 너무 재미있었습니다 영화를 보기 전 평점을 보고 갔음에도 처음부터 끝까지 심장 쫄깃함이 이어지고 영상미 진짜 몰입할 수 있게 만든 감독... 상 줘야 돼요 너무 재미있게 봤습니다 영화관에서 꼭 보세요 ,8
57,2020.05.17 00:55,긴장감이 말이 필요없어요 꼭 보세요 간만에 인생영화 등극,10
58,2020.05.16 23:21,보다가 심장떨려서 죽을뻔했어용 꿀잼 ㅋㅋㅋ,10
59,2020.05.14 21:15,영화를 끝까지 보고 나서도 이게 실화라는 게 믿기지 않을 정도로 정말 놀라운 감옥 탈출기를 보여주는데요. 단순한 스토리지만 끝까지 숨 막히는 전개에 아직 못 보셨다면 꼭 챙겨 보시라고 강추 드릴만 한 영화였습니다.,10
60,2020.05.14 01:12,실화라는 것이 놀랍고 탈옥의 기구가 생소한 것이 또 한번 놀랐어요,8
61,2020.05.11 15:07,몰입도가 엄청나다... 진짜 조마조마하고;,10
62,2020.05.30 23:03,진짜 간 쫄깃 쫄깃 ㅋㅋㅋ 문하나 열릴때마다 가슴이 콩닥콩닥,10
63,2020.05.24 19:59,"약간 소금이 안들어간 계란 후라이 같앴음.지금도 괞찮은데 뭔가 조금 더 뭔가 (액션, 코미디)같은 요소들이 들어가면 더 재밌었을 듯.",8
64,2020.05.08 10:02,재밌어요 다만 탈출과정만 그려서 ㅠ인종차별 배경을 좀더 다뤘으면 하는 아쉬움이,6
65,2020.06.05 23:47,알라호모라 주문을 잊어버린 해리의 탈출기,10
66,2020.06.04 17:04,오랜만에 스릴있게 본 것 같아용 최고 ~!!,10
67,2020.06.01 06:26,"실화라는 것을 감안하고 봐야합니다. 실화임을 감안하면 8.5점, 의도적으로 창작된 일반적인 영화들 정도를 기대하면 6.5점 정도로 느껴질 것 같습니다. 스토리에 여러 장치를 의도적으로 넣을 수 있는 일반적인 영화 들에 비하면 스토리가 아주 심플합니다. 그런 스토리를 흠잡을 곳 없는 연출과 연기로 커버해 서스펜스를 극한으로 끌어올렸습니다. 긴장감을 충분히 전달 받아 깊게 몰입할 수 있었고, 심지어 현장감을 느꼈습니다. 마지막엔 덩달아 맥이 탁 풀려 눈물이 차오르며 감동을 느꼈습니다. 박수를 짝짝짝짝 치고 싶었는데 조용히 손바닥을 톡톡 두드렸습니다. 팔리기 위한 영화들만 봐오다가 정말 작품을 봤다는 느낌이 들었습니다. 영화관까지 가서 볼 가치가 있냐 물으면 그건 잘 모르겠지만, 이렇게 까지 깊은 몰입감으로 승부하는 영화는 스크린이 그 장점을 최대한 부각시킨다고 생각합니다. ",9
68,2020.05.17 19:14,마스크 쓰고 있으니 숨을 더 잘 쉴수 없어서 더 쫄렸다,10
69,2020.05.13 13:26,심장이 쫄깃쫄깃 10자,10
70,2020.05.09 09:45,열쇠장인의 어드벤처 스릴러! 긴장감 좋쿠요 ㅋㅋㅋ 재밌습니다. 내 평생 열쇠따는거에 그렇게 긴장할줄 몰랐습니다 ㅋㅋ,10
71,2020.05.29 23:54,실화라는점에서 10점이다,10
72,2020.05.28 23:22,혼영으로 봐도 후회 없어요 ㅎ,10
73,2020.05.23 18:44,"별거없는거 같은데 계속해서 심장이 쫄깃하고 손을 가만히 둘수 없었다. 왜이렇게 불안하고 초조하고 떨리던지..!!!오롯이 영화에 빠져들 수 있었다. BGM도 한 몫 하는 듯 하다.별기대없이 봤던터라 만족감이 높을 수 있으나, 추천할만한 작품이었다!! ",10
74,2020.05.14 18:16,그저 미쳤다.... 와...,10
75,2020.05.24 22:22,마치 내가 탈출하는듯한  느낌!,10
76,2020.05.06 14:47,실화 개미쳤네,9
77,2020.06.05 05:10,해리포터 이녀석 보면 볼수록 연기가 참 좋아..,10
78,2020.06.04 20:29,,10
79,2020.06.04 19:55,계속 조마조마조마조마,10
80,2020.06.04 08:57,심장 개쫄렸다...  진짜,10
81,2020.06.04 05:30,오오 꿀잼. 기대이상입니다,10
82,2020.06.03 17:18,해리포터의 프리즌 이스케이프 / 헤르미온느의 콜로니아 둘다 최고네요~!,9
83,2020.06.03 09:45,대체로 무난하나 너무 무난해서 문제결말이 예측된다는 점에서 그닥 큰 흥미는 없었다.,6
84,2020.06.03 09:31,"재미있고, 스릴이 넘쳐서 영화볼동안 화장실도 못갔습니다, 나무로 열쇠를 만든다는 새롭고 신박한 방식이 재미있었습니다. 특히 보통 실제 역사를 기반으로 하면 그렇게 신박하지는 않는데 그 신박하지 않는다는 감을 깨 부수...",10
85,2020.06.02 05:19,숨쉴수가없음.. 심장 쫄깃쫄깃,10
86,2020.05.31 22:42,간절함이 무엇인지 알게해준 영화,10
87,2020.05.31 22:15,감옥 교도소라는 특정 공간에서 벌여지는 비밀리에 계획하고 진행한 탈출 장면과 들키지 않을까?  생각되는 극한의 긴장과 공포감이 영화를 보는 시간 내내 과몰입 할 정도로 지루 할 틈이 없었 던 것 같다~@,10
88,2020.05.31 21:57,보는동안 심장쫄려서 죽는줄;;배우들 연기도 좋았고 실화라니 정말 더 놀랐습니다!,10
89,2020.05.30 16:45,"열쇠 소리, 문여는 소리가 영화의 가장 극적인 요소",9
90,2020.05.26 21:30,체감 1년은 늙은 것 같은 긴장감과 몰입감,8
