,날짜,리뷰,평점
0,2019.10.30 10:20,전체의 행복을 위해서라면 개인의 행복을 희생해도 괜찮은가,10
1,2019.10.30 09:12,재미 있으면 공감버튼을 눌러주세요,10
2,2019.10.30 12:43,"영상미랑 효과음, 장면에 맞는 OST는 정말 극찬받을 만함. 하지만 영화 스토리만 놓고 보면 정말 졸작. 개연성, 스토리 짜임, 떡밥 회수 등 모든 면에서 최악임. 영화 다 보고 느낀 점은 '그래서 어쩌라는 ...",3
3,2019.10.30 15:44,미츠하랑 타키나오는데 나중에 타키 할머니 찾아갔을때 할머니 팔목에 미츠하 팔찌를 착용하고있었음 이거보고 신카이 마코토한테 시사회에서 관람객이 뭐냐고 물어봤는데 타키랑 미츠하가 결혼하고 미츠하가 타키 할머니한테 만들어 준 것을 표현했다고함 (필자는 두번봐서 직접확인하고옴) ,10
4,2019.10.30 13:54,영상미는 좋았는데... 스토리는 아쉬웠음. 떡밥회수도 안되고 그래서 뭘 말하고 싶은건지... 너의이름은 기대하고 보는 사람은 실망 많이 할 듯,6
5,2019.10.30 09:43,비 오는 날이 그리 나쁘지만은 않은 것 같다.,10
6,2019.10.30 19:29,폭풍우가 휩쓸고 간 개연성,4
7,2019.10.30 15:43,미츠하는 백화점에서 일하고있었다.,10
8,2019.10.30 10:28,아이맥스 폭죽놀이는 역대급이다,8
9,2019.10.30 21:46,도쿄 쑥대밭 만든 건 볼만했음.,4
10,2019.10.30 09:01,스토리는 호불호 갈리겠지만 눈이랑 귀가 너무 즐겁다,9
11,2019.10.30 11:07,전작만큼을 기대하고 가면 많이 아쉬울 것. 재미가 그닥 없음. 하지만 OST와 작화는 여전하니 눈뽕 귀뽕 맞고싶으면 강추.,8
12,2019.10.30 10:47,다수를 위한 소수의 희생은 정당한가? 어른들은 이해할 수 없는 아이들의 동화같은 이야기,10
13,2019.10.30 19:05,다 좋은데 총 은 왜 나온걸까...,6
14,2019.10.30 11:47,전작 너의 이름은 에서 더욱 발전할 모습을 보여줄지 알고 기대하고 봤다가 정말 실망했다.. 영상미 음악은 정말 두말이 필요없을 정도로 훌륭하다 게다가 캐릭터 디자인이나 움직임도 더욱 발전해서 자연스럽다는 느낌을 준다...,6
